0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-3.0700226,-2.618134,0.28048524,3.0973728,0.89298093,-1.4121428,1.2467524,-3.3159275,-0.888724,0.9695045,0.23260176,-0.5505614,-0.3379581,1.3431727,0.8342105,-0.011245202
-0.87796783,-1.0007973,-0.10410684,0.25751105,0.60951924,-2.021969,-1.0214362,-2.603795,2.8873801,1.4799328,-0.40823117,0.23772082,-0.7938603,-1.7635694,-3.234383,0.046843342
1.6047877,-0.9209255,1.174847,6.5892997,-1.6540693,-3.323606,4.2851133,0.9358277,-0.065167755,3.7253754,-2.0183454,4.1815143,-1.3089141,-0.45762303,-1.6893733,1.6086736
0.9043565,-1.1917604,-0.5146699,-0.16930635,1.6873183,0.61313343,-0.5913671,0.6269673,-0.4542787,2.056265,-1.6534122,1.0992713,1.1124531,1.4487544,1.4933408,1.723027
0.34496212,-2.6247118,1.0665786,2.5687413,-0.24512656,0.90003926,-2.5444167,2.2702136,-1.9128292,2.0400627,1.6929035,1.2611233,-1.8985856,-0.019493476,0.08717872,0.2633498
-0.75884986,-1.2088445,0.9514249,-0.13906595,-1.7634577,-1.2001302,1.2070553,0.95542264,-1.7222419,0.8439127,0.4639252,-1.5786108,2.7395701,-0.36938316,0.31751382,2.069096
-0.355461,-0.68863666,-0.11490287,0.9822716,-0.086539984,-0.07324172,-1.0134814,0.6435422,0.5575664,0.99061346,0.16187018,-0.22413501,0.00465462,-0.9918769,1.4351723,-0.73863196
1.255589,0.36553946,2.5285945,0.91982144,-1.0782367,-2.083337,0.7762875,-0.9562723,2.639255,0.011973161,-1.0430843,0.9266666,0.06072919,-1.6909233,0.036984876,3.9455981
2.0922098,-1.399611,1.650514,0.48090473,-0.61572164,-1.3058736,2.3459706,2.0679922,2.8678567,2.9193032,0.54615283,-0.22664931,0.27212435,-0.4586222,1.4149355,2.983376
-0.46902004,0.23860632,1.7058777,0.44536743,-2.4747794,-0.53885925,-0.8392638,1.5478084,0.80746555,2.2493787,0.83921736,1.3278921,0.16103765,-2.068225,1.6395657,1.3655661
0.48951194,-2.0901773,-1.1319623,3.3065794,1.5589231,-0.050475143,1.7279395,2.7567432,1.2022825,0.21057242,3.0512075,3.3797908,0.97264063,2.12652,-1.0509591,0.85994256
-0.6126084,-0.22517216,2.2059405,2.341364,-1.0251337,-0.2779875,1.6235489,-1.8627427,-3.5419998,2.5700648,4.1489515,-0.9255948,-1.1787126,-3.6891456,-2.0846486,0.5135453
-2.4247541,-0.06216169,-0.113967165,-0.24082778,-4.6606126,1.5801096,0.4786933,2.3565302,2.074536,2.148126,0.47101167,1.0758126,-2.5164816,0.64245206,-1.5302647,-1.7045699
-2.1994975,0.016180005,3.227933,0.73778206,0.17538016,-1.0088332,-0.65001625,-0.38377884,-0.093752615,0.94128156,-0.25490418,0.9649741,0.41789085,0.030912776,0.060800627,0.5046765
-0.8380957,-0.5542594,-1.5521935,-0.024199503,-1.4142902,-0.5775942,0.4140337,2.6131184,0.12647963,2.1046789,0.0026557557,-0.8493262,-0.44169354,0.3053248,0.6375116,1.632449
0.62571305,-1.9580088,-0.6402082,3.1237154,-1.848268,0.6012626,-0.41195798,-0.48042938,1.7939346,2.4466925,0.984197,0.25605112,-0.7175409,2.688803,0.71735966,1.5968182
