0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0.11187297,-0.30499232,-0.08348249,0.029865831,-0.124920554,-0.12687914,0.21331072,-0.034341097,-0.07392448,-0.13419586,0.11354003,-0.25326598,-0.06970293,0.005209537,0.047267184,0.079432555,0.037574098,-0.036239516,-0.06654093,-0.015876208,-0.2590075,-0.04189933,0.19226062,0.04611939,-0.21524724,-0.25792378,-0.19114962,-0.03829346,-0.13587612,-0.07730074,0.2467956,-0.012358669
0.27560169,-0.18121158,0.034223773,0.11034019,-0.40340528,0.48020786,-0.5363743,0.47857863,-0.26346675,0.27374533,0.9684599,-0.4527853,0.07118186,0.16042426,0.6526849,-0.03767447,-0.36517116,-0.25552955,-0.93929315,0.453602,0.434944,-0.43373722,-0.50092554,-0.17745751,0.4411806,-0.6839069,-0.37967005,-0.6826657,-0.91996866,0.21621501,-0.1405226,-0.232898
-0.010406382,-1.1342522,-0.09745203,0.5430438,-0.35364318,0.11205483,0.25760812,-0.34724045,1.0144683,-0.16556028,-0.056504674,-0.6289447,-0.038534023,0.34899318,-0.068162456,0.7751086,0.082240134,1.0231766,0.017330825,0.30846116,-0.26492625,-0.15256429,-0.06403615,-0.030194601,-0.70695865,0.02889932,-0.018971503,-0.019308202,-0.20691472,-0.16165158,0.024823233,-0.100531414
-0.24939676,-0.66479516,-0.41257972,-0.49406588,0.0093869865,0.12072519,-0.14625585,0.43392545,0.03258826,0.4418667,0.9781874,-1.3966353,-0.113466986,0.5285767,0.39133883,0.33430853,0.009470724,0.48996705,-0.9886848,-0.034631062,-0.19414979,-0.83673817,-1.1833897,0.038731124,-0.277103,-0.8427613,-0.5459841,0.030767977,-0.9272504,-0.18726462,-0.29348913,-0.37317085
0.34570754,-0.4504794,1.3006958,0.7864067,-1.6886008,0.4753895,1.0881809,0.09206607,1.0907279,-0.40986457,-0.50134045,-0.8226169,0.41911498,0.28696945,0.0035500862,0.6469903,0.21412468,2.7296798,-0.44553283,0.26235875,0.8771842,-0.2839697,-0.5214656,-0.42812306,-0.48111165,-0.17989323,0.26436853,-0.4840742,0.03781524,-0.7046881,-0.3102193,-0.5070106
-0.79086447,-0.23316053,3.0529726,0.17291106,-2.3254638,0.7881373,1.1497968,0.41957283,1.2402174,-0.443461,1.055128,-0.90809894,2.154431,0.59459573,0.59147483,-0.39532018,0.5284478,2.8678935,-1.2699511,0.66664946,1.3601584,-1.8057748,-2.6914232,0.1762008,-1.0171657,0.3506057,-0.017899923,-1.025997,-1.5067947,0.21927975,-0.4565427,-1.519878
-3.111943,-0.6714593,2.0335274,1.7239412,-2.8866563,1.8389634,0.8290836,0.56500787,0.8475338,0.54320407,0.63586295,-3.2316792,2.2830148,0.54089975,0.88225925,-0.40209946,0.6405664,4.386709,-1.1892407,0.21552582,0.72184986,-1.6171844,-5.4300666,-0.35066572,-1.3842413,-0.34539673,-1.8020407,-1.440378,-2.5556707,0.4477546,-2.831186,-2.5969546
-0.9549449,-0.89234275,1.4049999,1.5141509,-1.8285204,1.2111346,-0.14555351,-0.033228934,0.8729716,0.47541142,0.5429655,-2.032328,1.1831816,1.2397561,0.23155627,0.42132038,0.51225615,2.5555937,-0.96256685,0.41817865,1.3185773,-0.794267,-3.9876397,-0.11706796,0.13811873,-0.7674993,-0.92762786,-0.1402325,-1.0229152,-0.06023383,-1.5703017,-1.5193812
-0.191994,-0.42945415,-0.10049711,-0.17877035,-0.12805927,0.027467532,0.22013636,0.019152872,0.005011514,-0.16807589,0.16198781,-0.45671394,0.07064278,0.09067213,0.07121191,-0.106581405,-0.14445454,0.06205631,-0.13949247,0.0050988756,-0.34242517,-0.4366331,-0.054687865,-0.0074380673,-0.10212302,-0.118783504,-0.4194741,0.013035998,-0.39045018,0.13121551,0.12375458,-0.2208342
-0.5268788,0.17555931,0.22054657,0.51671165,-0.65522563,0.46593842,0.40036973,1.0076411,-0.18478522,0.5766785,-0.095742896,-1.2176319,0.5621737,-0.3357525,0.20937973,-0.055878274,0.10764093,0.99303496,-0.5963148,-0.38753098,1.1052939,-0.4848804,-0.9064975,0.03228977,-0.20316592,-0.505536,-0.74497336,-0.82165235,-0.24956074,0.18605545,-0.4617295,-0.12844267
