0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.93581265,0.24931835,1.2366736,-1.7747161,0.5000261,0.5417289,-1.1523981,-0.59439456,-1.977917,-0.23095202,0.6983084,0.29460353,-1.9437802,1.4242516,-0.5120411,-0.066283174
1.9957216,-1.7151213,-1.4608338,0.58826196,0.98342997,1.2334567,2.1431162,-0.1721725,0.5180909,1.2183399,0.7275144,-0.0751127,1.0649081,-0.9603414,0.50428337,0.088439256
0.74717265,0.38642108,-1.0813322,-0.50188524,2.1607397,0.050015215,-0.20113665,-0.6719399,-1.3978405,-0.5726837,1.2897303,0.87398374,2.428475,1.0313078,-0.7327946,0.031335384
0.620543,2.1725733,0.2541452,0.36017752,-0.12224795,0.20847613,-0.9005779,0.2509808,-0.17271161,1.1063259,-0.6674972,0.58181906,0.78023016,0.7065336,-0.0980147,-0.013283551
0.3447386,0.3980931,-0.37179556,0.1428651,-0.8110058,-0.33674452,1.3371001,0.4923982,-0.827231,-0.5093166,-1.3743876,-1.0174431,-0.33969706,-0.16632245,-0.6457153,0.048811913
-0.078472674,1.155516,-1.1631215,0.0820592,0.53989047,0.52997756,0.3905015,0.051330894,-2.0354643,0.051065266,0.1185009,0.20662636,0.7343596,0.56033325,-0.010519028,0.026917903
-0.2788728,1.1957145,-1.819332,0.012821805,-0.8497838,0.043967787,0.9461057,-0.6052592,-0.26798016,-0.57202405,-0.14976244,0.5793215,-0.24676904,-0.5130051,0.23054399,0.0376525
1.9064624,-0.006901443,-0.40235052,1.095208,0.7518358,-0.62720937,0.91335595,-1.2230495,0.08452904,1.0263224,1.3262831,1.0303704,-0.12485506,1.0110999,0.43958843,0.025391284
-1.3928425,0.09324376,1.1642071,1.0910708,-0.17441015,-1.2932147,-1.0035565,1.1043818,0.041906238,-0.5162875,0.8777143,-0.475356,0.71579003,-1.213755,-0.51193243,0.02326088
-1.3276014,0.22125243,-0.157927,-0.018433493,-1.0882105,-0.42745155,-0.93148255,-0.541096,-0.68724686,-0.15103209,0.02791433,-1.8923397,0.53649163,0.16882919,0.5241995,0.0791008
0.06797093,-0.66495574,0.5117568,1.3829286,0.7887579,-0.12166461,-0.9633922,-0.67444116,0.810501,-2.0780268,-0.7890344,0.5490447,-0.4139241,-0.9064315,-1.2706734,-0.05615674
1.8221962,-0.54653805,0.08122258,-1.221943,-0.41392767,-1.1989301,-1.6825017,-1.471843,-2.0432622,0.063176304,-0.6530528,0.010995626,2.26586,0.21800047,0.4485638,0.09692933
0.59060127,1.1223956,2.494074,0.019761086,-0.19909981,0.8804896,0.26625758,-0.1943061,1.6149981,0.678894,-0.5858857,-1.4374182,0.10163328,-1.3166231,0.47695738,0.039593913
0.41556165,-0.5139668,-1.2442361,0.095151395,-0.42954022,-1.2581899,-1.2486448,0.39295518,-0.23364687,-0.8541672,-0.6804164,0.8558079,-0.015173018,0.6746044,-0.4579227,0.031244703
-0.38754326,-0.021240324,-0.35763022,0.19989216,0.6390606,-0.16855471,0.26674718,0.79642934,-0.70578593,-0.96096027,-0.69763446,0.6634623,-0.9959812,-0.10598166,0.33658522,-0.03567396
-0.7985925,1.6105884,0.78747857,0.950228,0.08480956,-1.1824565,-0.8223489,-0.7722481,-0.5085589,-0.7393424,0.44699448,0.44626808,0.2667091,1.4722314,0.66105914,0.0036034137
-1.5563674,-0.5937093,-1.3768373,0.7613349,0.62881094,0.09614606,-1.5230796,-0.6312384,0.6062924,0.849701,0.07142319,0.10074031,0.4871542,-0.1433586,0.056244418,0.028665805
1.0766381,-0.6592744,1.6368742,-2.1700864,0.26393545,-0.48419335,0.5572461,-0.89157367,-0.14799607,0.8791122,-0.8610562,1.244757,-1.1119763,0.46901375,0.25700676,-0.02976954
-0.8692829,-0.47984904,0.7746165,0.6680015,-0.5484703,1.6164039,-0.81348705,1.5138247,-0.011920273,-0.23153263,-0.2136111,1.1708837,-0.70066166,0.2983479,-0.9788201,-0.09159997
0.8129345,0.06470759,-0.44827202,-0.25683042,0.29984152,-0.3830149,-0.755589,0.44101053,-0.714943,0.59620476,-0.37641,1.6345685,0.101151496,-0.30193835,0.61578757,-0.018260732
-0.22391254,-0.11536231,-0.73867595,0.1347705,0.022916064,-0.46784475,0.81440175,-0.24232642,-1.3646543,1.4488719,0.043836907,0.31876624,0.16679248,-0.73961914,1.1683003,0.013506334
0.8308673,0.08970375,1.7905327,-1.5044705,-0.111835875,2.0670836,1.1130563,-0.99280375,-0.42659456,-0.13062465,0.4735192,0.22259635,0.98475516,1.2379277,-1.3813196,-0.08047514
2.5400434,-1.2802148,-0.7125472,-0.75763124,-0.124461964,0.86472744,0.36356187,0.13724744,-0.3514247,0.8026572,2.2056673,1.4867494,-0.22791658,0.38163435,0.2642495,0.07693838
-0.83498687,-2.6791992,0.51636285,1.6235238,-0.5120758,-0.93940425,1.2319133,0.5062388,0.34513903,1.2614288,-0.13160941,-0.1530832,-0.36509803,0.72124887,1.8227267,-0.07430115
-0.50487226,0.738377,0.10240254,-0.45706812,0.13851537,-1.2703348,0.4010648,-1.0973175,0.35210088,-1.9243281,-0.8763986,-0.10441959,0.17475215,-1.3874527,0.02704306,-0.015053786
0.77441627,0.84433925,1.89832,-1.5831982,-0.36385533,0.24948648,-0.07203722,0.69438,-0.12005067,-1.39692,-1.3586802,-0.70361334,0.6882777,-0.38792545,1.0105972,-0.042973988
0.6000102,1.4841019,0.11197297,-2.027593,-0.594705,0.13059038,1.1089981,-0.40314528,0.85468435,1.2433617,2.2744737,-0.3963483,0.14518028,-0.7179593,2.1295455,0.039387956
0.69190973,-0.06396229,-0.58605564,0.82504874,-1.564366,-1.168838,3.064337,0.68610376,0.69860786,0.58884424,-2.67152,-0.7650406,1.0697803,0.13041528,-0.82168835,0.002568148
0.1706838,-0.5497191,-1.3079816,1.5787394,-0.96413565,-0.8406173,-1.217398,-1.6395128,-0.3335148,0.054632306,0.32819963,-1.5251606,0.5966218,0.036945194,1.1000402,0.11579422
0.61881787,-0.37927455,0.14331827,-1.1399789,-0.13475455,-1.2417829,1.8605902,0.50718015,0.04534489,0.0978286,-0.24536715,0.5601398,-0.6401169,0.30678785,-0.7218871,-0.030134648
0.41432092,1.4279922,0.665728,1.0106201,1.2158155,1.3479476,0.4232812,-1.590673,1.2419927,0.6672968,-0.23034093,1.7093186,0.93710244,-0.6892476,-0.3298268,-0.0023893192
-0.074192405,-0.19628756,-0.14898708,-1.2121114,-1.6642914,0.55154324,0.58423984,0.9981982,-0.27219754,-0.59732556,0.008713588,0.5630559,-0.09230439,-0.34491444,0.21690156,-0.033772253
